"Weekly Report for week of November 10, 2025",,,,,,,,
Daily Summary,,,,,,,,
,Budget,Food,Exer.,Net,+/-,Weight,,
10-Nov-25,"1,729","1,953",973,980,-749,-,,
11-Nov-25,"1,729","1,963",667,"1,296",-433,-,,
12-Nov-25,"1,729","2,042",759,"1,283",-446,-,,
13-Nov-25,"1,729","2,257",-,"2,257",528,-,,
14-Nov-25,"1,729","2,192",-,"2,192",463,-,,
15-Nov-25,"1,729","2,384",-,"2,384",655,-,,
16-Nov-25,"1,729","1,627",-,"1,627",-102,-,,
 ,,,,,,,,
83 calories under for the week,,,,,,,,
"2,400 exercise calories burned this week",,,,,,,,
Lost 0 pounds this week as measured from a starting weight of 172.6 pounds on Nov 9k,,,,,,,,
 ,,,,,,,,
Nutrients,,,,,,,,
,Fat (g) ,SatF (g) ,Chol (mg) ,Sod (mg) ,Carbs (g) ,Fib (g) ,Sug (g) ,Prot (g) 
10-Nov-25,70 ,34 ,313 ,"2,024 ",145 ,59 ,28 ,202 
11-Nov-25,55 ,28 ,241 ,"2,518 ",171 ,58 ,65 ,180 
12-Nov-25,60 ,29 ,311 ,"2,790 ",171 ,55 ,76 ,209 
13-Nov-25,55*,26*,36*,"1,588*",175*,71*,85*,130*
14-Nov-25,96 ,32 ,627 ,"2,389 ",208 ,42 ,70 ,97*
15-Nov-25,107 ,43 ,300 ,"2,604 ",230 ,51 ,69 ,130 
16-Nov-25,56 ,27 ,136 ,"2,872 ",148 ,58 ,14 ,151 
Totals,501,222,"1,968","16,788","1,251",397,411,"1,101"
, , , , , , , , 
Daily Avg,71,31,281,"2,398",178,56,58,157
Percent,32%,-,-,-,36%,-,-,32%
